sample_i,t_ms,roi_margin_ratio,low_clip,high_clip,p01,p05,p50,p95,p99,contrast,dynamic_range,exposure_bad,reasons
42,1758492782158.382080,0.050000,0.214920,0.028756,0.000000,0.000000,84.000000,228.000000,253.000000,253.000000,228.000000,0,
43,1758492782324.282227,0.050000,0.215873,0.023417,0.000000,0.000000,84.000000,222.000000,252.000000,252.000000,222.000000,0,
44,1758492782492.101074,0.050000,0.209605,0.026170,0.000000,0.000000,90.000000,225.000000,252.000000,252.000000,225.000000,0,
45,1758492782658.000977,0.050000,0.204160,0.024334,0.000000,0.000000,96.000000,226.000000,252.000000,252.000000,226.000000,0,
46,1758492782825.844971,0.050000,0.195848,0.016641,0.000000,0.000000,103.000000,221.000000,252.000000,252.000000,221.000000,0,
47,1758492782991.900879,0.050000,0.193540,0.010711,0.000000,0.000000,106.000000,215.000000,250.000000,250.000000,215.000000,0,
48,1758492783159.745117,0.050000,0.194163,0.013499,0.000000,0.000000,104.000000,219.000000,251.000000,251.000000,219.000000,0,
49,1758492783325.801025,0.050000,0.197836,0.013403,0.000000,0.000000,100.000000,221.000000,251.000000,251.000000,221.000000,0,
50,1758492783493.618896,0.050000,0.198339,0.011322,0.000000,0.000000,101.000000,217.000000,250.000000,250.000000,217.000000,0,
51,1758492783659.519043,0.050000,0.208112,0.014172,0.000000,0.000000,102.000000,214.000000,252.000000,252.000000,214.000000,0,
52,1758492783827.364014,0.050000,0.209822,0.014886,0.000000,0.000000,103.000000,221.000000,252.000000,252.000000,221.000000,0,
53,1758492783993.264160,0.050000,0.215727,0.031463,0.000000,0.000000,103.000000,238.000000,255.000000,255.000000,238.000000,0,
54,1758492784161.082031,0.050000,0.231041,0.050995,0.000000,0.000000,101.000000,250.000000,255.000000,255.000000,250.000000,0,
55,1758492784326.981934,0.050000,0.243243,0.022366,0.000000,0.000000,95.000000,228.000000,254.000000,254.000000,228.000000,0,
56,1758492784494.826904,0.050000,0.251493,0.011368,0.000000,0.000000,86.000000,208.000000,251.000000,251.000000,208.000000,0,
57,1758492784660.727051,0.050000,0.235328,0.014403,0.000000,0.000000,106.000000,216.000000,252.000000,252.000000,216.000000,0,
58,1758492784828.052979,0.050000,0.224674,0.012086,0.000000,0.000000,108.000000,212.000000,251.000000,251.000000,212.000000,0,
59,1758492784994.729980,0.050000,0.225526,0.012090,0.000000,0.000000,108.000000,214.000000,251.000000,251.000000,214.000000,0,
60,1758492785161.590088,0.050000,0.225660,0.016306,0.000000,0.000000,108.000000,218.000000,253.000000,253.000000,218.000000,0,
61,1758492785328.448975,0.050000,0.223768,0.017252,0.000000,0.000000,109.000000,220.000000,253.000000,253.000000,220.000000,0,
62,1758492785495.333984,0.050000,0.219004,0.018729,0.000000,0.000000,112.000000,218.000000,254.000000,254.000000,218.000000,0,
63,1758492785662.192871,0.050000,0.215895,0.015065,0.000000,0.000000,113.000000,211.000000,253.000000,253.000000,211.000000,0,
64,1758492785829.052979,0.050000,0.219199,0.011580,0.000000,0.000000,112.000000,205.000000,251.000000,251.000000,205.000000,0,
65,1758492785995.911865,0.050000,0.209953,0.012252,0.000000,0.000000,114.000000,210.000000,252.000000,252.000000,210.000000,0,
66,1758492786162.797119,0.050000,0.204532,0.008552,0.000000,0.000000,117.000000,205.000000,248.000000,248.000000,205.000000,0,
67,1758492786329.448975,0.050000,0.203838,0.007835,0.000000,0.000000,116.000000,199.000000,247.000000,247.000000,199.000000,0,
68,1758492786496.307861,0.050000,0.207256,0.007766,0.000000,0.000000,115.000000,199.000000,246.000000,246.000000,199.000000,0,
69,1758492786663.166992,0.050000,0.208794,0.008016,0.000000,0.000000,114.000000,200.000000,247.000000,247.000000,200.000000,0,
70,1758492786830.027100,0.050000,0.209890,0.008014,0.000000,0.000000,115.000000,201.000000,247.000000,247.000000,201.000000,0,
71,1758492786996.912109,0.050000,0.208836,0.008565,0.000000,0.000000,117.000000,202.000000,248.000000,248.000000,202.000000,0,
72,1758492787163.770996,0.050000,0.207600,0.009855,0.000000,0.000000,117.000000,199.000000,249.000000,249.000000,199.000000,0,
73,1758492787330.629883,0.050000,0.212405,0.008551,0.000000,0.000000,116.000000,196.000000,248.000000,248.000000,196.000000,0,
74,1758492787497.489990,0.050000,0.213050,0.008354,0.000000,0.000000,115.000000,197.000000,247.000000,247.000000,197.000000,0,
75,1758492787664.375000,0.050000,0.210004,0.007581,0.000000,0.000000,116.000000,201.000000,246.000000,246.000000,201.000000,0,
76,1758492787831.234131,0.050000,0.210512,0.007187,0.000000,0.000000,116.000000,199.000000,246.000000,246.000000,199.000000,0,
77,1758492787998.093018,0.050000,0.213791,0.007028,0.000000,0.000000,114.000000,197.000000,245.000000,245.000000,197.000000,0,
78,1758492788164.953125,0.050000,0.218347,0.007010,0.000000,0.000000,113.000000,195.000000,245.000000,245.000000,195.000000,0,
79,1758492788331.812012,0.050000,0.220162,0.007052,0.000000,0.000000,113.000000,195.000000,246.000000,246.000000,195.000000,0,
80,1758492788498.697021,0.050000,0.221860,0.006101,0.000000,0.000000,113.000000,195.000000,244.000000,244.000000,195.000000,0,
81,1758492788665.555908,0.050000,0.225285,0.005829,0.000000,0.000000,111.000000,196.000000,244.000000,244.000000,196.000000,0,
82,1758492788832.416016,0.050000,0.235112,0.011732,0.000000,0.000000,111.000000,199.000000,252.000000,252.000000,199.000000,0,
83,1758492788999.274902,0.050000,0.246634,0.012693,0.000000,0.000000,111.000000,197.000000,252.000000,252.000000,197.000000,0,
84,1758492789166.159912,0.050000,0.255326,0.012606,0.000000,0.000000,112.000000,198.000000,252.000000,252.000000,198.000000,0,
85,1758492789333.018799,0.050000,0.257341,0.010890,0.000000,0.000000,116.000000,196.000000,250.000000,250.000000,196.000000,0,
86,1758492789499.877930,0.050000,0.252094,0.007698,0.000000,0.000000,116.000000,193.000000,247.000000,247.000000,193.000000,0,
87,1758492789666.738037,0.050000,0.244158,0.008304,0.000000,0.000000,116.000000,194.000000,247.000000,247.000000,194.000000,0,
88,1758492789833.596924,0.050000,0.241679,0.008472,0.000000,0.000000,116.000000,194.000000,248.000000,248.000000,194.000000,0,
89,1758492790000.481934,0.050000,0.236318,0.009466,0.000000,0.000000,115.000000,199.000000,249.000000,249.000000,199.000000,0,
90,1758492790167.341064,0.050000,0.230027,0.010545,0.000000,0.000000,114.000000,205.000000,250.000000,250.000000,205.000000,0,
91,1758492790334.201172,0.050000,0.230176,0.010396,0.000000,0.000000,112.000000,205.000000,250.000000,250.000000,205.000000,0,
92,1758492790501.060059,0.050000,0.236875,0.010083,0.000000,0.000000,111.000000,206.000000,250.000000,250.000000,206.000000,0,
93,1758492790667.945068,0.050000,0.243027,0.010550,0.000000,0.000000,110.000000,211.000000,250.000000,250.000000,211.000000,0,
94,1758492790834.803955,0.050000,0.251801,0.011281,0.000000,0.000000,109.000000,213.000000,251.000000,251.000000,213.000000,0,
95,1758492791001.664062,0.050000,0.260972,0.011534,0.000000,0.000000,110.000000,216.000000,251.000000,251.000000,216.000000,0,
96,1758492791168.730225,0.050000,0.269727,0.013201,0.000000,0.000000,109.000000,223.000000,252.000000,252.000000,223.000000,0,
97,1758492791335.589844,0.050000,0.267029,0.014705,0.000000,0.000000,109.000000,225.000000,253.000000,253.000000,225.000000,0,
98,1758492791502.448975,0.050000,0.244850,0.015831,0.000000,0.000000,110.000000,226.000000,253.000000,253.000000,226.000000,0,
99,1758492791669.307861,0.050000,0.226801,0.017789,0.000000,0.000000,113.000000,228.000000,253.000000,253.000000,228.000000,0,
100,1758492791836.193115,0.050000,0.214370,0.018827,0.000000,0.000000,117.000000,228.000000,253.000000,253.000000,228.000000,0,
101,1758492792003.052979,0.050000,0.210778,0.020290,0.000000,0.000000,117.000000,228.000000,253.000000,253.000000,228.000000,0,
102,1758492792169.912109,0.050000,0.209092,0.021415,0.000000,0.000000,119.000000,226.000000,253.000000,253.000000,226.000000,0,
